26,1.0,1.7,1817
26,1.0,1.71,1760
26,1.0,1.72,1703
26,1.0,1.73,1647
26,1.0,1.74,1590
26,1.0,1.75,1533
26,1.0,1.76,1477
26,1.0,1.77,1420
26,1.0,1.78,1364
26,1.0,1.79,1307
26,1.0,1.8,1251
26,1.0,1.81,1194
26,1.0,1.82,1138
26,1.0,1.83,1081
26,1.0,1.84,1024
26,1.0,1.85,966
26,1.0,1.86,909
26,1.0,1.87,851
26,1.0,1.8800000000000001,793
26,1.0,1.8900000000000001,734
26,1.0,1.9000000000000001,674
26,1.0,1.9100000000000001,614
26,1.0,1.9200000000000002,552
26,1.0,1.9300000000000002,489
26,1.0,1.9400000000000002,424
26,1.0,1.94,424
26,1.0,1.95,356
26,1.0,1.96,308
26,1.0,1.97,431
26,1.0,1.98,629
26,1.0,1.99,1300
100,1.0,1.9,622
100,1.0,1.91,566
100,1.0,1.92,509
100,1.0,1.93,450
100,1.0,1.94,390
100,1.0,1.95,325
100,1.0,1.96,317
100,1.0,1.97,455
100,1.0,1.98,700
100,1.0,1.99,1327
125,1.0,1.9,592
125,1.0,1.91,539
125,1.0,1.92,484
125,1.0,1.93,428
125,1.0,1.94,370
125,1.0,1.95,309
125,1.0,1.96,316
125,1.0,1.97,453
125,1.0,1.98,724
125,1.0,1.99,1319
150,1.0,1.9,563
150,1.0,1.91,512
150,1.0,1.92,459
150,1.0,1.93,406
150,1.0,1.94,350
150,1.0,1.95,294
150,1.0,1.96,329
150,1.0,1.97,479
groot,1.5,1.7,784
groot,1.5,1.71,759
groot,1.5,1.72,734
groot,1.5,1.73,709
groot,1.5,1.74,685
groot,1.5,1.75,660
groot,1.5,1.76,635
groot,1.5,1.77,610
groot,1.5,1.78,586
groot,1.5,1.79,561
groot,1.5,1.8,536
groot,1.5,1.81,511
groot,1.5,1.82,486
groot,1.5,1.83,461
groot,1.5,1.84,436
groot,1.5,1.85,411
groot,1.5,1.86,385
groot,1.5,1.87,359
groot,1.5,1.8800000000000001,332
groot,1.5,1.8900000000000001,305
groot,1.5,1.9000000000000001,277
groot,1.5,1.9100000000000001,248
groot,1.5,1.9200000000000002,216
groot,1.5,1.9300000000000002,224
groot,1.5,1.9400000000000002,247
groot,1.5,1.9500000000000002,276
groot,1.5,1.9600000000000002,323
groot,1.5,1.9700000000000002,413
groot,1.5,1.9800000000000002,578
groot,0.5,1.7,306
groot,0.5,1.71,296
groot,0.5,1.72,286
groot,0.5,1.73,276
groot,0.5,1.74,266
groot,0.5,1.75,256
groot,0.5,1.76,245
groot,0.5,1.77,235
groot,0.5,1.78,225
groot,0.5,1.79,215
groot,0.5,1.8,205
groot,0.5,1.81,194
groot,0.5,1.82,184
groot,0.5,1.83,173
groot,0.5,1.84,163
